rollouts,families,branch_accuracy,state_readiness_accuracy,transition_precondition_precision,transition_effect_precision,goal_precision,goal_recall,false_ready_rate,unnecessary_manipulation_rate,failure_denominator,failure_recall,recovery_denominator,recovery_recall,unknown_rate,ambiguous_edge_rate,graph_completion_coverage,second_view_query_rate,graph_id,scenario
12,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08753315649867376,0.0,0.92,0.0,G0_coarse_direct,already_on_target_offcenter
12,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0,,0,,0.04433497536945813,0.0,0.5499999999999999,0.0,G0_coarse_direct,already_satisfied_stable
12,3,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.07559681697612732,0.0,0.5499999999999999,0.0,G0_coarse_direct,distractor_object_ambiguity
12,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,12,0.0,12,0.0,0.06157635467980296,0.0,0.5499999999999999,0.0,G0_coarse_direct,missed_grasp_then_retry
12,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.06100795755968169,0.0,0.92,0.0,G0_coarse_direct,normal_pick_place
12,3,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,,0,,0,,0.2254641909814323,0.0,0.5499999999999999,0.0,G0_coarse_direct,primary_view_occlusion
12,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,12,0.0,12,0.0,0.05818965517241379,0.0,0.5499999999999999,0.0,G0_coarse_direct,slip_then_recover
12,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.06650246305418721,0.0,0.5499999999999999,0.0,G0_coarse_direct,target_occupied
12,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.08753315649867376,0.0,0.92,0.0,G1_predicate_bound,already_on_target_offcenter
12,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,,0,,0.04433497536945813,0.0,0.92,0.0,G1_predicate_bound,already_satisfied_stable
12,3,0.0,0.25,0.0,0.25,,0.0,,,0,,0,,0.07559681697612732,0.0,0.6799999999999998,0.0,G1_predicate_bound,distractor_object_ambiguity
12,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,12,0.0,12,0.0,0.06157635467980296,0.0,0.6799999999999998,0.0,G1_predicate_bound,missed_grasp_then_retry
12,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,0,,0,,0.06100795755968169,0.0,0.92,0.0,G1_predicate_bound,normal_pick_place
12,3,0.0,0.6666666666666666,0.0,0.6666666666666666,1.0,0.6666666666666666,0.0,,0,,0,,0.2254641909814323,0.0,0.6799999999999998,0.0,G1_predicate_bound,primary_view_occlusion
12,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,12,0.0,12,0.0,0.05818965517241379,0.0,0.6799999999999998,0.0,G1_predicate_bound,slip_then_recover
12,3,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,0,,0,,0.06650246305418721,0.0,0.6799999999999998,0.0,G1_predicate_bound,target_occupied
