logical_path	original_path	original_filename	size_bytes	sha256	artifact_type	purpose	reason_omitted	recovery_method
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_00	rollout_00	103375	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_00_00_220701/rollout_01	rollout_01	103375	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_01_00_220701/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_01_00_220701/rollout_00	rollout_00	60274	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_01_00_220701/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_01_00_220701/rollout_01	rollout_01	60274	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_02_00_220701/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_02_00_220701/rollout_00	rollout_00	102147	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_02_00_220701/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_02_00_220701/rollout_01	rollout_01	102147	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_03_00_220701/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_03_00_220701/rollout_00	rollout_00	114817	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_03_00_220701/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_03_00_220701/rollout_01	rollout_01	114817	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_04_00_220701/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_04_00_220701/rollout_00	rollout_00	131833	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_04_00_220701/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_04_00_220701/rollout_01	rollout_01	131833	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_05_00_220701/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_05_00_220701/rollout_00	rollout_00	115189	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_05_00_220701/rollout_01	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_05_00_220701/rollout_01	rollout_01	115189	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_06_00_220701/rollout_00	/home/__compress_data/xushijie/graph_github_upload/artifacts/pathgraph_sarm/upgrade_v2/visual_refine_l2_v1/dynamic_dataset_v1/pilot/L2P_06_00_220701/rollout_00	rollout_00	107250	directory_manifested_by_component_files	raw_dynamic_rollout_directory	dynamic MuJoCo pilot/development rollout	per-frame RGB, NPZ, and detailed control payload externalized	rerun the locked family and rollout seeds
