stage,part,method,task,seed,skill_transition_cap,full_update_cap,new_training_job,source_stage,status,prior
1A,II,B2,D0,0,16384,16,True,,PLANNED_NOT_RUN,空
1A,II,Full,D0,0,16384,16,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,B0,T_A,0,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,B0,T_A,1,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,B0,T_A,2,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,B1,T_A,0,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,B1,T_A,1,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,B1,T_A,2,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,B2,T_A,0,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,B2,T_A,1,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,B2,T_A,2,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,Full,T_A,0,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,Full,T_A,1,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,Full,T_A,2,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,B0,T_C,0,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,B0,T_C,1,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,B0,T_C,2,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,B1,T_C,0,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,B1,T_C,1,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,B1,T_C,2,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,B2,T_C,0,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,B2,T_C,1,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,B2,T_C,2,65536,64,True,,PLANNED_NOT_RUN,空
2A,III,Full,T_C,0,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,Full,T_C,1,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2A,III,Full,T_C,2,65536,64,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,B0,T_A,0,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B0,T_A,1,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B0,T_A,2,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B1,T_A,0,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,B1,T_A,1,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,B1,T_A,2,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,B2,T_A,0,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B2,T_A,1,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B2,T_A,2,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,Full,T_A,0,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,Full,T_A,1,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,Full,T_A,2,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,B0,T_B,0,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B0,T_B,1,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B0,T_B,2,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B1,T_B,0,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,B1,T_B,1,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,B1,T_B,2,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,B2,T_B,0,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B2,T_B,1,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B2,T_B,2,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,Full,T_B,0,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,Full,T_B,1,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,Full,T_B,2,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,B0,T_C,0,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B0,T_C,1,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B0,T_C,2,131072,128,True,,PLANNED_NOT_RUN,空
2B,III,B1,T_C,0,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
2B,III,B1,T_C,1,131072,128,True,,PLANNED_NOT_RUN,80/20；B0/B2无prior
