skill,sample_index,duration_seconds,timeout_seconds,task_deadline_seconds,reference_skill_seconds
OPEN,0,7.5999999999995405,16.0,43.0,3.5500000000006953
OPEN,1,7.5999999999995405,16.0,43.0,3.5500000000006953
OPEN,2,7.5999999999995405,16.0,43.0,3.5500000000006953
OPEN,3,7.5999999999995405,16.0,43.0,3.5500000000006953
OPEN,4,7.5999999999995405,16.0,43.0,3.5500000000006953
PICK,0,4.1999999999996485,9.0,43.0,3.5500000000006953
PICK,1,4.0999999999996595,9.0,43.0,3.5500000000006953
PICK,2,3.7999999999996925,9.0,43.0,3.5500000000006953
PICK,3,3.7999999999996925,9.0,43.0,3.5500000000006953
PICK,4,3.849999999999687,9.0,43.0,3.5500000000006953
PICK,5,4.1999999999996485,9.0,43.0,3.5500000000006953
PICK,6,4.049999999999665,9.0,43.0,3.5500000000006953
PICK,7,4.1999999999996485,9.0,43.0,3.5500000000006953
PICK,8,3.7999999999996925,9.0,43.0,3.5500000000006953
PICK,9,3.9999999999996705,9.0,43.0,3.5500000000006953
PLACE,0,2.9500000000007613,8.0,43.0,3.5500000000006953
PLACE,1,3.0000000000009557,8.0,43.0,3.5500000000006953
PLACE,2,2.9000000000009685,8.0,43.0,3.5500000000006953
PLACE,3,3.000000000001002,8.0,43.0,3.5500000000006953
PLACE,4,2.9000000000007446,8.0,43.0,3.5500000000006953
PLACE,5,2.900000000000789,8.0,43.0,3.5500000000006953
PLACE,6,2.950000000000985,8.0,43.0,3.5500000000006953
PLACE,7,2.95000000000085,8.0,43.0,3.5500000000006953
PLACE,8,2.9500000000008946,8.0,43.0,3.5500000000006953
PLACE,9,2.950000000000985,8.0,43.0,3.5500000000006953
PLACE_BUFFER,0,3.5500000000008285,8.0,43.0,3.5500000000006953
PLACE_BUFFER,1,3.5500000000000735,8.0,43.0,3.5500000000006953
PLACE_BUFFER,2,3.550000000000562,8.0,43.0,3.5500000000006953
PLACE_BUFFER,3,3.5500000000006953,8.0,43.0,3.5500000000006953
PLACE_BUFFER,4,3.5500000000001624,8.0,43.0,3.5500000000006953
PLACE_BUFFER,5,3.5000000000004565,8.0,43.0,3.5500000000006953
PLACE_BUFFER,6,3.5000000000004565,8.0,43.0,3.5500000000006953
PLACE_BUFFER,7,3.550000000000562,8.0,43.0,3.5500000000006953
PLACE_BUFFER,8,3.550000000000651,8.0,43.0,3.5500000000006953
PLACE_BUFFER,9,3.550000000000873,8.0,43.0,3.5500000000006953
