run_id,task_id,method,seed,init,planned_transitions,planned_updates,update_every_transitions,eval_split,eval_at_updates,checkpoint_updates,b1_full_train_prior,eval_prior,effective_prior_train,test_access,share_optimizer,share_checkpoint,stop_on_full_win,output_dir,attempt_dir,status,learning_enabled,p0_execute,config_hash
stage2a_T_A_B0_seed0,T_A,B0,0,from_scratch,65536,64,1024,dev20,"0,8,16,24,32,40,48,56,64","0,8,16,24,32,40,48,56,64",empty,empty,empty,False,False,False,False,experiments/part_2_exploration/stage_2a/stage2a_T_A_B0_seed0,experiments/part_2_exploration/stage_2a/stage2a_T_A_B0_seed0/attempts/attempt_000,PLANNED,True,False,419e3a19dfca83e2150f1b78d0c862ed5df11be4213623fc0f07a8fd64a0239d
stage2a_T_A_B0_seed1,T_A,B0,1,from_scratch,65536,64,1024,dev20,"0,8,16,24,32,40,48,56,64","0,8,16,24,32,40,48,56,64",empty,empty,empty,False,False,False,False,experiments/part_2_exploration/stage_2a/stage2a_T_A_B0_seed1,experiments/part_2_exploration/stage_2a/stage2a_T_A_B0_seed1/attempts/attempt_000,PLANNED,True,False,3ef5769dad5ab25bc72712688d6144357d5c9570b8fa10ff11cde6aaa2b0c684
stage2a_T_A_B0_seed2,T_A,B0,2,from_scratch,65536,64,1024,dev20,"0,8,16,24,32,40,48,56,64","0,8,16,24,32,40,48,56,64",empty,empty,empty,False,False,False,False,experiments/part_2_exploration/stage_2a/stage2a_T_A_B0_seed2,experiments/part_2_exploration/stage_2a/stage2a_T_A_B0_seed2/attempts/attempt_000,PLANNED,True,False,8dbf67843f92ed27adba2d7dfe21c44b8831e8994538a81bb67851619fb57deb
stage2a_T_A_B1_seed0,T_A,B1,0,from_scratch,65536,64,1024,dev20,"0,8,16,24,32,40,48,56,64","0,8,16,24,32,40,48,56,64",80/20,Original,80/20,False,False,False,False,experiments/part_2_exploration/stage_2a/stage2a_T_A_B1_seed0,experiments/part_2_exploration/stage_2a/stage2a_T_A_B1_seed0/attempts/attempt_000,PLANNED,True,False,0ae445310c77892f87022e98430f09202cf2337be59d463ead154825880e4a8f
stage2a_T_A_B1_seed1,T_A,B1,1,from_scratch,65536,64,1024,dev20,"0,8,16,24,32,40,48,56,64","0,8,16,24,32,40,48,56,64",80/20,Original,80/20,False,False,False,False,experiments/part_2_exploration/stage_2a/stage2a_T_A_B1_seed1,experiments/part_2_exploration/stage_2a/stage2a_T_A_B1_seed1/attempts/attempt_000,PLANNED,True,False,fd61a65065221ed0d780253a0480a730d0822f6ad422de3aa3cf8f85930eb395
stage2a_T_A_B1_seed2,T_A,B1,2,from_scratch,65536,64,1024,dev20,"0,8,16,24,32,40,48,56,64","0,8,16,24,32,40,48,56,64",80/20,Original,80/20,False,False,False,False,experiments/part_2_exploration/stage_2a/stage2a_T_A_B1_seed2,experiments/part_2_exploration/stage_2a/stage2a_T_A_B1_seed2/attempts/attempt_000,PLANNED,True,False,0807d5ca8e8f3b0ff5d44efac96d36f52ae38c6dbd2e705526d2b46c6d49ebdf
stage2a_T_A_B2_seed0,T_A,B2,0,from_scratch,65536,64,1024,dev20,"0,8,16,24,32,40,48,56,64","0,8,16,24,32,40,48,56,64",empty,empty,empty,False,False,False,False,experiments/part_2_exploration/stage_2a/stage2a_T_A_B2_seed0,experiments/part_2_exploration/stage_2a/stage2a_T_A_B2_seed0/attempts/attempt_000,PLANNED,True,False,e32f2e70c48bc0cd47ce2c0ee444d3324aaf20130151da316cd772b3f0058c02
stage2a_T_A_B2_seed1,T_A,B2,1,from_scratch,65536,64,1024,dev20,"0,8,16,24,32,40,48,56,64","0,8,16,24,32,40,48,56,64",empty,empty,empty,False,False,False,False,experiments/part_2_exploration/stage_2a/stage2a_T_A_B2_seed1,experiments/part_2_exploration/stage_2a/stage2a_T_A_B2_seed1/attempts/attempt_000,PLANNED,True,False,7f3f5a7983c840e5e75829f5c0257ee34492222fe6177a0a6d22043a2a20f2a1
stage2a_T_A_B2_seed2,T_A,B2,2,from_scratch,65536,64,1024,dev20,"0,8,16,24,32,40,48,56,64","0,8,16,24,32,40,48,56,64",empty,empty,empty,False,False,False,False,experiments/part_2_exploration/stage_2a/stage2a_T_A_B2_seed2,experiments/part_2_exploration/stage_2a/stage2a_T_A_B2_seed2/attempts/attempt_000,PLANNED,True,False,ef0fbcf9e601b8c528f9e9b20e28da42580114aeabd0621a8523644e687e42f3
stage2a_T_A_Full_seed0,T_A,Full,0,from_scratch,65536,64,1024,dev20,"0,8,16,24,32,40,48,56,64","0,8,16,24,32,40,48,56,64",80/20,Original,80/20,False,False,False,False,experiments/part_2_exploration/stage_2a/stage2a_T_A_Full_seed0,experiments/part_2_exploration/stage_2a/stage2a_T_A_Full_seed0/attempts/attempt_000,PLANNED,True,False,15350b8bb262120bfa6369b4325d3e3e1676813cf9483838dd1c92a24b320f18
