timestamp,index,memory_used_mib,memory_total_mib,utilization_gpu_percent
2026-07-21 02:37:50,0,40294,40960,14
2026-07-21 02:37:50,1,8529,40960,0
2026-07-21 02:37:50,2,15685,40960,39
2026-07-21 02:37:50,3,24370,40960,4
2026-07-21 02:37:50,4,40260,40960,51
2026-07-21 02:37:50,5,20347,40960,0
2026-07-21 02:37:50,6,36030,40960,69
2026-07-21 02:37:50,7,33443,40960,36
2026-07-21 02:37:51,0,40294,40960,43
2026-07-21 02:37:51,1,8529,40960,0
2026-07-21 02:37:51,2,15685,40960,26
2026-07-21 02:37:51,3,24370,40960,9
2026-07-21 02:37:51,4,40260,40960,53
2026-07-21 02:37:51,5,20347,40960,0
2026-07-21 02:37:51,6,36030,40960,0
2026-07-21 02:37:51,7,33443,40960,88
2026-07-21 02:37:52,0,40294,40960,39
2026-07-21 02:37:52,1,8529,40960,2
2026-07-21 02:37:52,2,15685,40960,1
2026-07-21 02:37:52,3,24370,40960,16
2026-07-21 02:37:52,4,40260,40960,62
2026-07-21 02:37:52,5,20347,40960,0
2026-07-21 02:37:52,6,36030,40960,0
2026-07-21 02:37:52,7,33443,40960,44
2026-07-21 02:37:54,0,40044,40960,44
2026-07-21 02:37:54,1,8529,40960,8
2026-07-21 02:37:54,2,15685,40960,21
2026-07-21 02:37:54,3,24370,40960,16
2026-07-21 02:37:54,4,40260,40960,49
2026-07-21 02:37:54,5,20347,40960,0
2026-07-21 02:37:54,6,36030,40960,0
2026-07-21 02:37:54,7,33443,40960,40
2026-07-21 02:37:55,0,40228,40960,26
2026-07-21 02:37:55,1,8529,40960,0
2026-07-21 02:37:55,2,15685,40960,2
2026-07-21 02:37:55,3,24370,40960,0
2026-07-21 02:37:55,4,40260,40960,22
2026-07-21 02:37:55,5,20347,40960,0
2026-07-21 02:37:55,6,36030,40960,0
2026-07-21 02:37:55,7,33443,40960,30
2026-07-21 02:37:56,0,40228,40960,0
2026-07-21 02:37:56,1,8529,40960,0
2026-07-21 02:37:56,2,15685,40960,0
2026-07-21 02:37:56,3,24370,40960,0
2026-07-21 02:37:56,4,40260,40960,0
2026-07-21 02:37:56,5,20347,40960,0
2026-07-21 02:37:56,6,36030,40960,0
2026-07-21 02:37:56,7,33443,40960,26
2026-07-21 02:37:57,0,40228,40960,0
2026-07-21 02:37:57,1,8529,40960,14
2026-07-21 02:37:57,2,15685,40960,39
2026-07-21 02:37:57,3,24370,40960,5
2026-07-21 02:37:57,4,40260,40960,0
2026-07-21 02:37:57,5,20347,40960,0
2026-07-21 02:37:57,6,36030,40960,0
2026-07-21 02:37:57,7,33443,40960,22
2026-07-21 02:37:58,0,40228,40960,7
2026-07-21 02:37:58,1,8529,40960,2
2026-07-21 02:37:58,2,15685,40960,13
2026-07-21 02:37:58,3,24370,40960,32
2026-07-21 02:37:58,4,40260,40960,9
2026-07-21 02:37:58,5,20347,40960,0
2026-07-21 02:37:58,6,36030,40960,0
2026-07-21 02:37:58,7,33443,40960,29
2026-07-21 02:37:59,0,40228,40960,0
2026-07-21 02:37:59,1,8529,40960,16
2026-07-21 02:37:59,2,15685,40960,8
2026-07-21 02:37:59,3,24370,40960,0
2026-07-21 02:37:59,4,40260,40960,0
2026-07-21 02:37:59,5,20347,40960,0
2026-07-21 02:37:59,6,36030,40960,0
2026-07-21 02:37:59,7,33443,40960,44
2026-07-21 02:38:00,0,40228,40960,28
2026-07-21 02:38:00,1,8529,40960,16
2026-07-21 02:38:00,2,15685,40960,13
