train_demo_column,dataset_demo_index,score,rank_descending,top_20_percent
76,131,22.251995,1,True
55,87,21.715597,2,True
159,255,21.703617,3,True
171,270,19.112383,4,True
190,298,18.788118,5,True
95,161,18.611053,6,True
145,228,18.511393,7,True
188,296,18.50926,8,True
124,203,16.501059,9,True
189,297,15.866376,10,True
88,146,15.826168,11,True
93,159,15.808812,12,True
106,178,15.6294985,13,True
104,175,14.915179,14,True
144,227,14.709175,15,True
118,196,14.555296,16,True
68,117,14.437931,17,True
41,66,13.87252,18,True
182,287,13.40721,19,True
83,139,13.3828945,20,True
12,20,13.229728,21,True
123,202,13.113955,22,True
42,67,12.886872,23,True
126,205,12.716904,24,True
141,223,12.680626,25,True
113,187,12.290655,26,True
109,181,11.644573,27,True
44,70,11.437635,28,True
101,172,11.283983,29,True
43,68,11.193856,30,True
27,42,11.073579,31,True
79,134,11.0487995,32,True
31,48,11.043834,33,True
73,125,11.006353,34,True
62,104,10.794846,35,True
9,16,10.559774,36,True
181,286,10.53532,37,True
29,45,10.415068,38,True
38,62,10.136612,39,False
132,213,10.134348,40,False
49,80,9.651779,41,False
46,72,9.593283,42,False
51,82,9.565826,43,False
127,206,9.519921,44,False
86,142,9.226159,45,False
69,119,9.222736,46,False
7,13,9.164162,47,False
133,215,9.097036,48,False
169,268,8.974841,49,False
94,160,8.97027,50,False
164,260,8.864267,51,False
50,81,8.566709,52,False
137,219,8.212258,53,False
16,30,8.140514,54,False
8,15,7.871253,55,False
35,55,7.6541095,56,False
60,98,7.58643,57,False
37,60,7.553706,58,False
105,176,7.552823,59,False
78,133,7.491859,60,False
91,152,7.324958,61,False
14,27,7.324807,62,False
59,97,7.255289,63,False
131,211,7.2171435,64,False
176,275,7.081734,65,False
67,114,7.0226593,66,False
25,39,6.684738,67,False
178,278,6.440079,68,False
97,164,6.2056785,69,False
115,190,6.0127363,70,False
135,217,5.993531,71,False
128,208,5.954853,72,False
2,3,5.732769,73,False
121,200,5.6910276,74,False
100,171,5.4551315,75,False
80,135,5.334614,76,False
34,53,5.229818,77,False
112,186,5.150981,78,False
40,65,5.138587,79,False
163,259,5.0102406,80,False
33,52,4.9691343,81,False
54,86,4.964387,82,False
130,210,4.9636383,83,False
140,222,4.8687677,84,False
4,6,4.851291,85,False
85,141,4.8432174,86,False
96,163,4.8232875,87,False
173,272,4.8085213,88,False
89,150,4.7598,89,False
157,253,4.6846166,90,False
136,218,4.4078336,91,False
47,74,4.06883,92,False
23,37,4.063885,93,False
185,291,4.0451922,94,False
18,32,4.043414,95,False
102,173,3.981184,96,False
111,185,3.7875009,97,False
187,294,3.7694697,98,False
11,19,3.633431,99,False
36,57,3.507112,100,False
17,31,3.3652143,101,False
0,0,3.3484178,102,False
20,34,3.2842495,103,False
186,292,3.2360907,104,False
72,124,3.1688528,105,False
15,28,3.120985,106,False
177,276,3.014873,107,False
1,1,2.9921126,108,False
92,156,2.9418364,109,False
77,132,2.878821,110,False
10,18,2.4056208,111,False
90,151,2.3969748,112,False
180,280,2.1019678,113,False
22,36,1.8918016,114,False
24,38,1.8384409,115,False
103,174,1.6912674,116,False
134,216,1.6365838,117,False
179,279,1.375977,118,False
64,106,0.8703935,119,False
125,204,0.8655813,120,False
110,183,0.74048805,121,False
175,274,0.50937605,122,False
167,263,0.44574165,123,False
6,11,0.38345551,124,False
30,47,0.33720452,125,False
21,35,0.1388762,126,False
45,71,0.05946493,127,False
120,198,-0.09116173,128,False
174,273,-0.0914568,129,False
13,21,-0.14193487,130,False
191,299,-0.6343088,131,False
66,113,-0.88481617,132,False
99,168,-0.96692276,133,False
161,257,-1.0405331,134,False
71,121,-1.1027145,135,False
108,180,-1.1086786,136,False
166,262,-1.108985,137,False
82,138,-1.6366782,138,False
168,265,-1.8356309,139,False
158,254,-1.9055572,140,False
84,140,-2.4437616,141,False
148,235,-2.7468886,142,False
28,44,-2.898277,143,False
61,100,-3.6490486,144,False
154,244,-3.6919417,145,False
5,7,-4.127848,146,False
3,5,-4.617525,147,False
26,41,-4.6399713,148,False
98,166,-4.854274,149,False
53,85,-5.1833344,150,False
162,258,-5.2063293,151,False
151,239,-5.703604,152,False
150,237,-5.8283696,153,False
75,127,-5.995907,154,False
156,250,-6.01594,155,False
19,33,-6.0250554,156,False
129,209,-6.8228817,157,False
138,220,-7.3125772,158,False
32,50,-7.3934617,159,False
152,242,-7.487239,160,False
114,188,-7.507372,161,False
160,256,-7.844883,162,False
172,271,-8.881634,163,False
107,179,-9.2111845,164,False
117,194,-9.444347,165,False
183,289,-9.633642,166,False
74,126,-10.110643,167,False
87,145,-11.680616,168,False
63,105,-11.750002,169,False
139,221,-13.043222,170,False
147,234,-13.475555,171,False
70,120,-13.774475,172,False
116,191,-14.413931,173,False
170,269,-14.973682,174,False
65,110,-16.37377,175,False
48,75,-17.050463,176,False
184,290,-17.64437,177,False
142,224,-18.262928,178,False
143,225,-18.799957,179,False
81,136,-20.60169,180,False
119,197,-21.92506,181,False
56,90,-23.73339,182,False
122,201,-24.993725,183,False
57,93,-26.583317,184,False
52,83,-26.861046,185,False
149,236,-27.063755,186,False
58,94,-29.988792,187,False
165,261,-31.545193,188,False
39,64,-35.988167,189,False
146,230,-48.183853,190,False
155,247,-48.90995,191,False
153,243,-49.84381,192,False
