budget,proportion,delete_k,matrix_column,original_demo_index,deletion_frequency
10,0.05,10,0,0,0.0
10,0.05,10,1,1,0.0
10,0.05,10,2,3,0.0
10,0.05,10,3,5,0.025
10,0.05,10,4,6,0.0
10,0.05,10,5,7,0.029
10,0.05,10,6,11,0.002
10,0.05,10,7,13,0.001
10,0.05,10,8,15,0.0
10,0.05,10,9,16,0.002
10,0.05,10,10,18,0.007
10,0.05,10,11,19,0.0
10,0.05,10,12,20,0.015
10,0.05,10,13,21,0.0
10,0.05,10,14,27,0.001
10,0.05,10,15,28,0.006
10,0.05,10,16,30,0.002
10,0.05,10,17,31,0.0
10,0.05,10,18,32,0.001
10,0.05,10,19,33,0.061
10,0.05,10,20,34,0.001
10,0.05,10,21,35,0.005
10,0.05,10,22,36,0.001
10,0.05,10,23,37,0.0
10,0.05,10,24,38,0.0
10,0.05,10,25,39,0.003
10,0.05,10,26,41,0.031
10,0.05,10,27,42,0.001
10,0.05,10,28,44,0.035
10,0.05,10,29,45,0.0
10,0.05,10,30,47,0.001
10,0.05,10,31,48,0.0
10,0.05,10,32,50,0.092
10,0.05,10,33,52,0.007
10,0.05,10,34,53,0.001
10,0.05,10,35,55,0.056
10,0.05,10,36,57,0.033
10,0.05,10,37,60,0.02
10,0.05,10,38,62,0.048
10,0.05,10,39,64,0.305
10,0.05,10,40,65,0.055
10,0.05,10,41,66,0.014
10,0.05,10,42,67,0.009
10,0.05,10,43,68,0.004
10,0.05,10,44,70,0.031
10,0.05,10,45,71,0.102
10,0.05,10,46,72,0.005
10,0.05,10,47,74,0.002
10,0.05,10,48,75,0.112
10,0.05,10,49,80,0.003
10,0.05,10,50,81,0.011
10,0.05,10,51,82,0.083
10,0.05,10,52,83,0.191
10,0.05,10,53,85,0.017
10,0.05,10,54,86,0.053
10,0.05,10,55,87,0.032
10,0.05,10,56,90,0.271
10,0.05,10,57,93,0.195
10,0.05,10,58,94,0.268
10,0.05,10,59,97,0.007
10,0.05,10,60,98,0.0
10,0.05,10,61,100,0.041
10,0.05,10,62,104,0.002
10,0.05,10,63,105,0.158
10,0.05,10,64,106,0.007
10,0.05,10,65,110,0.15
10,0.05,10,66,113,0.025
10,0.05,10,67,114,0.001
10,0.05,10,68,117,0.001
10,0.05,10,69,119,0.002
10,0.05,10,70,120,0.109
10,0.05,10,71,121,0.114
10,0.05,10,72,124,0.017
10,0.05,10,73,125,0.0
10,0.05,10,74,126,0.142
10,0.05,10,75,127,0.007
10,0.05,10,76,131,0.0
10,0.05,10,77,132,0.001
10,0.05,10,78,133,0.004
10,0.05,10,79,134,0.0
10,0.05,10,80,135,0.001
10,0.05,10,81,136,0.203
10,0.05,10,82,138,0.077
10,0.05,10,83,139,0.0
10,0.05,10,84,140,0.02
10,0.05,10,85,141,0.009
10,0.05,10,86,142,0.062
10,0.05,10,87,145,0.187
10,0.05,10,88,146,0.02
10,0.05,10,89,150,0.018
10,0.05,10,90,151,0.009
10,0.05,10,91,152,0.0
10,0.05,10,92,156,0.015
10,0.05,10,93,159,0.0
10,0.05,10,94,160,0.0
10,0.05,10,95,161,0.001
10,0.05,10,96,163,0.002
10,0.05,10,97,164,0.003
10,0.05,10,98,166,0.025
10,0.05,10,99,168,0.1
10,0.05,10,100,171,0.003
10,0.05,10,101,172,0.002
10,0.05,10,102,173,0.009
10,0.05,10,103,174,0.006
10,0.05,10,104,175,0.003
10,0.05,10,105,176,0.002
10,0.05,10,106,178,0.001
10,0.05,10,107,179,0.131
10,0.05,10,108,180,0.056
10,0.05,10,109,181,0.001
10,0.05,10,110,183,0.009
10,0.05,10,111,185,0.0
10,0.05,10,112,186,0.011
10,0.05,10,113,187,0.001
10,0.05,10,114,188,0.012
10,0.05,10,115,190,0.003
10,0.05,10,116,191,0.128
10,0.05,10,117,194,0.155
10,0.05,10,118,196,0.0
10,0.05,10,119,197,0.216
10,0.05,10,120,198,0.013
10,0.05,10,121,200,0.013
10,0.05,10,122,201,0.282
10,0.05,10,123,202,0.009
10,0.05,10,124,203,0.012
10,0.05,10,125,204,0.145
10,0.05,10,126,205,0.012
10,0.05,10,127,206,0.003
10,0.05,10,128,208,0.008
10,0.05,10,129,209,0.137
10,0.05,10,130,210,0.058
10,0.05,10,131,211,0.014
10,0.05,10,132,213,0.0
10,0.05,10,133,215,0.04
10,0.05,10,134,216,0.03
10,0.05,10,135,217,0.096
10,0.05,10,136,218,0.014
10,0.05,10,137,219,0.001
10,0.05,10,138,220,0.054
10,0.05,10,139,221,0.222
10,0.05,10,140,222,0.03
10,0.05,10,141,223,0.087
10,0.05,10,142,224,0.191
10,0.05,10,143,225,0.224
10,0.05,10,144,227,0.01
10,0.05,10,145,228,0.04
10,0.05,10,146,230,0.493
10,0.05,10,147,234,0.19
10,0.05,10,148,235,0.131
10,0.05,10,149,236,0.269
10,0.05,10,150,237,0.046
10,0.05,10,151,239,0.117
10,0.05,10,152,242,0.107
10,0.05,10,153,243,0.316
10,0.05,10,154,244,0.025
10,0.05,10,155,247,0.445
10,0.05,10,156,250,0.019
10,0.05,10,157,253,0.157
10,0.05,10,158,254,0.005
10,0.05,10,159,255,0.034
10,0.05,10,160,256,0.035
10,0.05,10,161,257,0.019
10,0.05,10,162,258,0.014
10,0.05,10,163,259,0.026
10,0.05,10,164,260,0.003
10,0.05,10,165,261,0.233
10,0.05,10,166,262,0.02
10,0.05,10,167,263,0.033
10,0.05,10,168,265,0.015
10,0.05,10,169,268,0.005
10,0.05,10,170,269,0.17
10,0.05,10,171,270,0.001
10,0.05,10,172,271,0.138
10,0.05,10,173,272,0.005
10,0.05,10,174,273,0.033
10,0.05,10,175,274,0.002
10,0.05,10,176,275,0.02
10,0.05,10,177,276,0.099
10,0.05,10,178,278,0.004
10,0.05,10,179,279,0.022
10,0.05,10,180,280,0.07
10,0.05,10,181,286,0.01
10,0.05,10,182,287,0.004
10,0.05,10,183,289,0.146
10,0.05,10,184,290,0.113
10,0.05,10,185,291,0.005
10,0.05,10,186,292,0.01
10,0.05,10,187,294,0.008
10,0.05,10,188,296,0.0
10,0.05,10,189,297,0.0
10,0.05,10,190,298,0.005
10,0.05,10,191,299,0.094
10,0.1,19,0,0,0.001
10,0.1,19,1,1,0.007
10,0.1,19,2,3,0.0
10,0.1,19,3,5,0.08
10,0.1,19,4,6,0.008
10,0.1,19,5,7,0.09
10,0.1,19,6,11,0.005
10,0.1,19,7,13,0.003
10,0.1,19,8,15,0.007
10,0.1,19,9,16,0.004
10,0.1,19,10,18,0.027
10,0.1,19,11,19,0.0
10,0.1,19,12,20,0.035
10,0.1,19,13,21,0.008
10,0.1,19,14,27,0.008
10,0.1,19,15,28,0.033
10,0.1,19,16,30,0.005
10,0.1,19,17,31,0.001
10,0.1,19,18,32,0.004
10,0.1,19,19,33,0.138
10,0.1,19,20,34,0.014
10,0.1,19,21,35,0.049
10,0.1,19,22,36,0.018
10,0.1,19,23,37,0.009
10,0.1,19,24,38,0.0
10,0.1,19,25,39,0.014
10,0.1,19,26,41,0.104
10,0.1,19,27,42,0.018
10,0.1,19,28,44,0.096
10,0.1,19,29,45,0.0
10,0.1,19,30,47,0.013
10,0.1,19,31,48,0.001
10,0.1,19,32,50,0.218
10,0.1,19,33,52,0.037
10,0.1,19,34,53,0.02
10,0.1,19,35,55,0.146
10,0.1,19,36,57,0.073
10,0.1,19,37,60,0.086
10,0.1,19,38,62,0.094
10,0.1,19,39,64,0.346
10,0.1,19,40,65,0.116
10,0.1,19,41,66,0.037
10,0.1,19,42,67,0.035
10,0.1,19,43,68,0.022
10,0.1,19,44,70,0.071
10,0.1,19,45,71,0.163
10,0.1,19,46,72,0.033
10,0.1,19,47,74,0.016
10,0.1,19,48,75,0.282
10,0.1,19,49,80,0.016
10,0.1,19,50,81,0.038
10,0.1,19,51,82,0.124
10,0.1,19,52,83,0.3
10,0.1,19,53,85,0.144
10,0.1,19,54,86,0.131
