path	size_bytes	sha256	artifact_type	reason_omitted	required_for_full_recompute
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/ensemble/ensemble_stage3_diagnostic_predictions.jsonl.gz	1720788	5ae5e465bfe30bd9ea36ca35e40d44dd163aaa13f02b2e300ee6f2d56ec154a3	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/ensemble/ensemble_test_predictions.jsonl.gz	1116693	7442bcaeee797b73b51bcba48244da0100b385ec12128ac7ba7848d04cc9b543	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/ensemble/ensemble_val_predictions.jsonl.gz	604863	f7df75b9c5dd1597e46543dc37c4ee4fe2e71a9ea2fcd118a6a38e354d20bd90	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/predictions/s20260906__stage3_diagnostic.jsonl.gz	2614791	bbf18ff36a71f3a4a8ea66d4d7e06138285983bf065aa109f571daf89eea3c13	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/predictions/s20260906__test.jsonl.gz	1698253	00ab9b5b012a906b4780c9df99e1063ddd62539d4d632ba5a41c432f0c71e503	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/predictions/s20260906__val.jsonl.gz	917030	8eda40747df6ad15aa1896635c56ff31811ef208b81aec788e51873624b34b51	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/predictions/s20260907__stage3_diagnostic.jsonl.gz	2612476	b7dd972d677efc71e7f660018910eb412ba7a0d9351586a20870b02fe2dd4f79	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/predictions/s20260907__test.jsonl.gz	1697078	858120053c3f57360c1ac562d5d89b1fff763e94fa2d476a5f25df90b0a9d3a2	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/predictions/s20260907__val.jsonl.gz	916095	5babc6346ffc4632c0c7a223a6d8d13a60f4bc8f56337addd7807aeb99804593	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/predictions/s20260908__stage3_diagnostic.jsonl.gz	2613265	267326e64f8b3558b6e182bded8070e10659519be23ea0fedeae91ccbe56a36e	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/predictions/s20260908__test.jsonl.gz	1697808	d846aa37b4e831e58c0f713b8eb97dfe55b6b12ed10f00a386458bebf5396f51	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage8_core_reward/core_reproduction_v1/predictions/s20260908__val.jsonl.gz	916028	9804005f330293fbc25085a5e3793d0b3a2805c46028ab0291635a6378f34128	stage8_prediction	per_sample_prediction_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/stage6_inputs/reward_v1_persistent/model_checkpoints/seed_20260906_best.pt	128427	44819cc93f9a96cbfbfa543bb5986157ddee5de230768f9f0e33017dfdf0c6b1	checkpoint	checkpoint_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/stage6_inputs/reward_v1_persistent/model_checkpoints/seed_20260907_best.pt	128427	30fc7aab849219c96ba09962ae7c9da31662568501ea0a8da236da90508bf9da	checkpoint	checkpoint_omitted_from_lightweight_round_delivery	True
/home/__compress_data/xushijie/CUPID/artifacts/pathgraph_sarm/stage6/stage6_inputs/reward_v1_persistent/model_checkpoints/seed_20260908_best.pt	128427	e2d0a0c433571d77396e348cb0274099ba3d6d350517c1af03aba971bb828a7a	checkpoint	checkpoint_omitted_from_lightweight_round_delivery	True
