case_id,root_family_id,split,paired_change,manipulated_object,target_object,expected_behavior,goal_appears_satisfied,object_identity_ambiguous,main_view_occluded,view_2_adds_information,target_blocked,unsupported_physical_claims,ready_reference,annotation_seconds,reference_source
F01_A,F01,dev,referential_unique_vs_ambiguous,,,,,,,,,,0,,
F01_B,F01,dev,referential_unique_vs_ambiguous,,,,,,,,,,0,,
F02_A,F02,confirm,unsatisfied_vs_satisfied,,,,,,,,,,0,,
F02_B,F02,confirm,unsatisfied_vs_satisfied,,,,,,,,,,0,,
F03_A,F03,confirm,visible_vs_occluded,,,,,,,,,,0,,
F03_B,F03,confirm,visible_vs_occluded,,,,,,,,,,0,,
F04_A,F04,confirm,clear_vs_target_blocked,,,,,,,,,,0,,
F04_B,F04,confirm,clear_vs_target_blocked,,,,,,,,,,0,,
F05_A,F05,dev,referential_unique_vs_ambiguous,,,,,,,,,,0,,
F05_B,F05,dev,referential_unique_vs_ambiguous,,,,,,,,,,0,,
F06_A,F06,confirm,unsatisfied_vs_satisfied,,,,,,,,,,0,,
F06_B,F06,confirm,unsatisfied_vs_satisfied,,,,,,,,,,0,,
F07_A,F07,confirm,visible_vs_occluded,,,,,,,,,,0,,
F07_B,F07,confirm,visible_vs_occluded,,,,,,,,,,0,,
F08_A,F08,confirm,clear_vs_target_blocked,,,,,,,,,,0,,
F08_B,F08,confirm,clear_vs_target_blocked,,,,,,,,,,0,,
F09_A,F09,dev,referential_unique_vs_ambiguous,,,,,,,,,,0,,
F09_B,F09,dev,referential_unique_vs_ambiguous,,,,,,,,,,0,,
F10_A,F10,confirm,unsatisfied_vs_satisfied,,,,,,,,,,0,,
F10_B,F10,confirm,unsatisfied_vs_satisfied,,,,,,,,,,0,,
F11_A,F11,confirm,visible_vs_occluded,,,,,,,,,,0,,
F11_B,F11,confirm,visible_vs_occluded,,,,,,,,,,0,,
F12_A,F12,confirm,clear_vs_target_blocked,,,,,,,,,,0,,
F12_B,F12,confirm,clear_vs_target_blocked,,,,,,,,,,0,,
